PRIMARY_SAMPLE_UNIT,YEAR,STATION_NR,DEPTH,MAX_HARD_RELIEF,MAX_SOFT_RELIEF,AVG_HARD_RELIEF,PCT_SAND,PCT_HARD_BOTTOM,PCT_RUBBLE,PCT_CORAL,PCT_OCTO,PCT_SPONGE,LAT_DEGREES,LON_DEGREES
1191,2017,1,8.8392,1.1,1,0.44875,2.5,87.5,10,14.5,24,0.5,17.78006,-64.59409
1192,2017,1,11.43,0.675,1,0.12625,80,10,10,0.5,10,6.5,17.78057,-64.64229
1193,2017,1,10.8204,1.05,1.05,0.15375,3.5,95,1.5,4,29,1,17.78654,-64.58109
1195,2017,1,10.0584,1.25,1.75,0.19225,30,55,15,6,7.5,5,17.78821,-64.58502
1196,2017,1,10.8204,1.625,1.5,0.2990625,25,57.5,17.5,12.5,15,6,17.79052,-64.59243
1197,2017,1,8.5344,1.1,1.05,0.2425,2.5,97.5,0,12.5,32.5,1,17.79232,-64.59326
1198,2017,1,8.382,0.75,1.35,0.2625,30,61.5,8.5,7.5,35,3,17.79469,-64.64099
1199,2017,1,7.4676,1.3,1.1,0.2795,0.5,99.5,0,8.5,25,1,17.79534,-64.6013
1200,2017,1,7.1628,1.625,1.275,0.5809375,2.5,70,27.5,3.5,7,1,17.79941,-64.61351
1201,2017,1,4.2672,1.025,0.5,0.2275,0,90,10,3,4,0.5,17.80098,-64.63195
1203,2017,1,5.7912,1.4,1.05,0.19775,5,95,0,1.5,5.5,1.5,17.80423,-64.62787
1204,2017,1,9.144,0.35,0.35,0.15,2.5,65,32.5,1,1.5,1.5,17.7066,-64.65866
1205,2017,1,5.4864,1.65,0.85,0.51,25,60,15,6,1.5,1,17.71065,-64.66276
1206,2017,1,10.0584,0.7,0.5,0.1575,0,100,0,2,2,2,17.71147,-64.64917
1207,2017,1,5.0292,0.885,0.525,0.25575,6,53.5,40.5,1,1.5,1,17.72153,-64.62972
1208,2017,1,5.4864,0.475,0.26,0.1895,7.5,47,45.5,1,1.5,1.5,17.7215,-64.62848
1210,2017,1,6.096,0.5,1,0.125,0,100,0,8,61,1,17.76788,-64.5974
1211,2017,1,7.9248,0.225,0.425,0.1025,0,95,5,1.5,1,6.5,17.77645,-64.65777
1212,2017,1,9.144,0.285,0.41,0.1025,64.5,1,34.5,0.5,2,1,17.77781,-64.6502
1213,2017,1,10.3632,0.5,1.1,0.11075,0,100,0,5,12.5,3.5,17.78062,-64.57712
1214,2017,1,8.9916,0.6,1.15,0.1315,19,77.5,3.5,6.5,21,5.5,17.78099,-64.65493
1215,2017,1,11.2776,0.25,1.05,0.1025,2,94,4,4,47.5,13.5,17.82393,-64.48649
1216,2017,1,11.1252,0.4,1.05,0.11025,0.5,99.5,0,7.5,50,12.5,17.82445,-64.4851
1217,2017,1,1.9812,0.525,0.675,0.21875,20,80,0,1.5,1,3,17.68795,-64.89731
1218,2017,1,2.7432,0.7,1.125,0.18325,47.5,52.5,0,0.5,3,1.5,17.71923,-64.88526
1221,2017,1,5.1816,0.325,0.85,0.1375,0,92.5,7.5,2.5,5,2,17.77346,-64.68312
1222,2017,1,7.3152,0.25,0.3,0.10625,0,100,0,1,2,1,17.78621,-64.75496
